program_id;overlap_count;signature_length;jaccard_index
1629;8;30;0.2667
8755;8;30;0.2667
8838;9;30;0.3000
22777;8;30;0.2667
23549;8;30;0.2667
24812;11;30;0.3667
27874;10;30;0.3333
28828;8;30;0.2667
28835;8;30;0.2667
34108;8;30;0.2667
43632;8;30;0.2667
43636;8;30;0.2667
44287;9;30;0.3000
44667;9;30;0.3000
49616;9;30;0.3000
51677;9;30;0.3000
53800;9;30;0.3000
56489;8;30;0.2667
63541;8;30;0.2667
71840;9;30;0.3000
74794;9;30;0.3000
82290;9;30;0.3000
86070;8;30;0.2667
91056;8;30;0.2667
91369;8;30;0.2667
92353;8;30;0.2667
98140;9;30;0.3000
98177;8;30;0.2667
98424;9;30;0.3000
99488;8;30;0.2667
100066;9;30;0.3000
114186;10;30;0.3333
118375;9;30;0.3000
120184;9;30;0.3000
120200;9;30;0.3000
120201;9;30;0.3000
120209;9;30;0.3000
122701;9;30;0.3000
122825;8;30;0.2667
126696;9;30;0.3000
129308;8;30;0.2667
133463;8;30;0.2667
133610;9;30;0.3000
137951;9;30;0.3000
143608;8;30;0.2667
144197;8;30;0.2667
146983;8;30;0.2667
147991;9;30;0.3000
156875;9;30;0.3000
168605;8;30;0.2667
171524;9;30;0.3000
175848;8;30;0.2667
175864;8;30;0.2667
177339;9;30;0.3000
178457;8;30;0.2667
178460;8;30;0.2667
178704;8;30;0.2667
179999;10;30;0.3333
182082;8;30;0.2667
182770;8;30;0.2667
182772;9;30;0.3000
182777;9;30;0.3000
186147;8;30;0.2667
187581;10;30;0.3333
188551;9;30;0.3000
189741;8;30;0.2667
198759;10;30;0.3333
202207;8;30;0.2667
211850;8;30;0.2667
212068;8;30;0.2667
213604;8;30;0.2667
226405;11;30;0.3667
226451;8;30;0.2667
227327;8;30;0.2667
230501;9;30;0.3000
231682;8;30;0.2667
231684;8;30;0.2667
236326;8;30;0.2667
244307;11;30;0.3667
254874;8;30;0.2667
256971;9;30;0.3000
260918;10;30;0.3333
264894;10;30;0.3333
265359;9;30;0.3000
269850;10;30;0.3333
270653;8;30;0.2667
270804;8;30;0.2667
279054;8;30;0.2667
285188;8;30;0.2667
286806;9;30;0.3000
290055;8;30;0.2667
295317;8;30;0.2667
315447;8;30;0.2667
315468;8;30;0.2667
317591;9;30;0.3000
325104;8;30;0.2667
333535;8;30;0.2667
338733;9;30;0.3000
342712;8;30;0.2667
344128;9;30;0.3000
