program_id;overlap_count;signature_length;jaccard_index
6589;5;30;0.1667
10035;5;30;0.1667
11934;5;30;0.1667
15943;5;30;0.1667
16029;5;30;0.1667
20699;5;30;0.1667
26960;5;30;0.1667
37251;5;30;0.1667
45623;5;30;0.1667
45891;5;30;0.1667
47862;5;30;0.1667
47900;5;30;0.1667
53469;6;30;0.2000
59387;5;30;0.1667
61989;5;30;0.1667
63945;5;30;0.1667
64017;5;30;0.1667
74551;6;30;0.2000
74554;6;30;0.2000
74557;6;30;0.2000
78836;6;30;0.2000
79027;6;30;0.2000
79028;5;30;0.1667
79859;6;30;0.2000
79861;6;30;0.2000
79862;6;30;0.2000
81105;5;30;0.1667
81106;5;30;0.1667
81892;5;30;0.1667
82047;5;30;0.1667
82306;5;30;0.1667
87323;5;30;0.1667
87447;5;30;0.1667
87719;5;30;0.1667
91307;5;30;0.1667
94125;5;30;0.1667
95893;5;30;0.1667
99035;5;30;0.1667
107285;6;30;0.2000
109975;5;30;0.1667
111297;5;30;0.1667
123016;5;30;0.1667
124152;5;30;0.1667
128074;5;30;0.1667
129953;5;30;0.1667
129954;5;30;0.1667
129955;5;30;0.1667
131056;5;30;0.1667
131352;5;30;0.1667
131520;6;30;0.2000
137233;5;30;0.1667
137344;5;30;0.1667
140659;5;30;0.1667
153973;6;30;0.2000
159695;5;30;0.1667
159696;5;30;0.1667
159697;5;30;0.1667
161168;5;30;0.1667
169261;5;30;0.1667
169309;5;30;0.1667
169453;5;30;0.1667
169501;5;30;0.1667
170065;5;30;0.1667
170113;5;30;0.1667
170161;5;30;0.1667
170257;5;30;0.1667
170305;5;30;0.1667
170497;5;30;0.1667
170545;5;30;0.1667
170593;5;30;0.1667
170641;5;30;0.1667
173391;5;30;0.1667
175162;6;30;0.2000
175163;6;30;0.2000
177755;5;30;0.1667
180357;5;30;0.1667
180358;5;30;0.1667
195116;6;30;0.2000
196410;6;30;0.2000
197602;5;30;0.1667
199752;5;30;0.1667
199755;5;30;0.1667
202654;5;30;0.1667
213818;5;30;0.1667
213827;5;30;0.1667
220932;5;30;0.1667
229472;5;30;0.1667
231643;6;30;0.2000
234875;5;30;0.1667
245593;5;30;0.1667
245829;5;30;0.1667
261391;5;30;0.1667
267805;5;30;0.1667
269059;5;30;0.1667
281698;5;30;0.1667
283070;6;30;0.2000
292044;5;30;0.1667
295904;5;30;0.1667
321123;5;30;0.1667
329754;5;30;0.1667
