program id;overlap
341706;20
7412;19
35254;19
183571;19
118011;18
138591;18
183870;18
184108;18
265283;18
14132;17
23535;17
36498;17
48760;17
56084;17
61887;17
75349;17
78358;17
123860;17
130261;17
132354;17
166447;17
183294;17
183574;17
183858;17
183872;17
184016;17
184110;17
186495;17
219190;17
309805;17
315907;17
50271;16
56167;16
61885;16
64801;16
77859;16
78107;16
80750;16
105427;16
109161;16
161983;16
183218;16
183219;16
183221;16
183222;16
183223;16
183295;16
183302;16
211430;16
217290;16
