program_id;overlap_count;signature_length;jaccard_index
1817;10;30;0.3333
1826;10;30;0.3333
7911;10;30;0.3333
8383;9;30;0.3000
8580;9;30;0.3000
8723;9;30;0.3000
8756;10;30;0.3333
8760;10;30;0.3333
23538;10;30;0.3333
25724;10;30;0.3333
34108;10;30;0.3333
54119;11;30;0.3667
60633;10;30;0.3333
73775;11;30;0.3667
76457;10;30;0.3333
76458;10;30;0.3333
76459;10;30;0.3333
78614;10;30;0.3333
81690;10;30;0.3333
82477;10;30;0.3333
83911;10;30;0.3333
87233;10;30;0.3333
90949;11;30;0.3667
92338;10;30;0.3333
93119;10;30;0.3333
94687;9;30;0.3000
95248;10;30;0.3333
95796;10;30;0.3333
98022;10;30;0.3333
98452;10;30;0.3333
100149;10;30;0.3333
100151;11;30;0.3667
100166;10;30;0.3333
100168;10;30;0.3333
109116;11;30;0.3667
110157;9;30;0.3000
110548;11;30;0.3667
117585;9;30;0.3000
122620;10;30;0.3333
129654;10;30;0.3333
129831;10;30;0.3333
134632;10;30;0.3333
136107;9;30;0.3000
146983;11;30;0.3667
157493;10;30;0.3333
167562;11;30;0.3667
186276;10;30;0.3333
188169;10;30;0.3333
188820;10;30;0.3333
189407;10;30;0.3333
189807;10;30;0.3333
192245;9;30;0.3000
206143;10;30;0.3333
213578;10;30;0.3333
216113;10;30;0.3333
219167;10;30;0.3333
226577;10;30;0.3333
227013;10;30;0.3333
229573;9;30;0.3000
245997;10;30;0.3333
250082;10;30;0.3333
250760;10;30;0.3333
250761;10;30;0.3333
250766;10;30;0.3333
250768;10;30;0.3333
250772;10;30;0.3333
250814;10;30;0.3333
250878;11;30;0.3667
257637;9;30;0.3000
261241;10;30;0.3333
268459;10;30;0.3333
269412;11;30;0.3667
269496;10;30;0.3333
269681;11;30;0.3667
270869;10;30;0.3333
271439;9;30;0.3000
272978;10;30;0.3333
273321;11;30;0.3667
273334;10;30;0.3333
276706;10;30;0.3333
294398;10;30;0.3333
307119;10;30;0.3333
315033;10;30;0.3333
315173;10;30;0.3333
315653;10;30;0.3333
318159;10;30;0.3333
324772;9;30;0.3000
329507;9;30;0.3000
329510;10;30;0.3333
329924;10;30;0.3333
330476;10;30;0.3333
333599;10;30;0.3333
338648;10;30;0.3333
338649;10;30;0.3333
338650;10;30;0.3333
338651;10;30;0.3333
338652;10;30;0.3333
338653;10;30;0.3333
340631;10;30;0.3333
345745;10;30;0.3333
