program_id;overlap_count;signature_length;jaccard_index
1342;7;30;0.2333
3958;7;30;0.2333
3961;7;30;0.2333
6288;7;30;0.2333
10842;8;30;0.2667
10843;7;30;0.2333
10908;8;30;0.2667
11918;7;30;0.2333
14297;8;30;0.2667
14990;7;30;0.2333
26532;10;30;0.3333
34001;8;30;0.2667
34177;8;30;0.2667
34325;8;30;0.2667
34788;8;30;0.2667
34834;8;30;0.2667
34976;8;30;0.2667
35023;8;30;0.2667
35279;8;30;0.2667
46901;7;30;0.2333
51232;6;30;0.2000
51578;8;30;0.2667
51580;8;30;0.2667
51582;8;30;0.2667
51606;8;30;0.2667
51609;8;30;0.2667
51620;8;30;0.2667
51691;8;30;0.2667
53486;8;30;0.2667
53487;8;30;0.2667
57003;7;30;0.2333
58384;7;30;0.2333
62358;7;30;0.2333
62359;8;30;0.2667
64100;8;30;0.2667
64989;7;30;0.2333
66761;6;30;0.2000
66979;6;30;0.2000
72176;7;30;0.2333
78028;6;30;0.2000
80954;8;30;0.2667
81065;7;30;0.2333
83102;7;30;0.2333
84103;6;30;0.2000
84232;7;30;0.2333
91914;7;30;0.2333
93149;7;30;0.2333
94918;7;30;0.2333
94919;7;30;0.2333
94920;7;30;0.2333
94921;7;30;0.2333
94922;7;30;0.2333
94923;7;30;0.2333
94924;7;30;0.2333
95177;8;30;0.2667
95250;7;30;0.2333
97731;7;30;0.2333
97814;7;30;0.2333
97815;7;30;0.2333
97816;7;30;0.2333
97817;7;30;0.2333
97819;7;30;0.2333
97820;7;30;0.2333
97821;7;30;0.2333
108869;8;30;0.2667
108920;6;30;0.2000
111686;8;30;0.2667
113551;8;30;0.2667
120580;8;30;0.2667
129831;7;30;0.2333
131987;7;30;0.2333
132122;7;30;0.2333
138709;7;30;0.2333
153647;7;30;0.2333
161731;7;30;0.2333
163071;8;30;0.2667
164535;7;30;0.2333
164894;8;30;0.2667
171507;6;30;0.2000
181290;7;30;0.2333
186500;7;30;0.2333
188590;6;30;0.2000
196421;6;30;0.2000
203136;7;30;0.2333
214745;7;30;0.2333
214998;7;30;0.2333
223249;6;30;0.2000
229463;6;30;0.2000
248185;7;30;0.2333
264449;7;30;0.2333
265917;7;30;0.2333
267092;7;30;0.2333
289356;7;30;0.2333
312960;6;30;0.2000
328408;7;30;0.2333
328683;7;30;0.2333
336804;7;30;0.2333
336805;7;30;0.2333
336808;7;30;0.2333
344510;7;30;0.2333
