program_id;overlap_count;jaccard_index
529;26;0.4815
4959;24;0.5581
5720;24;0.6000
6586;25;0.4902
6636;26;0.4815
7291;26;0.5098
7715;24;0.6154
8516;26;0.3377
10385;25;0.5208
14637;24;0.4528
18211;27;0.4426
22784;25;0.4902
22785;24;0.5106
22791;24;0.5455
22816;24;0.6486
23538;24;0.5854
23658;24;0.5333
25699;25;0.5319
25701;24;0.5106
25702;24;0.5000
25713;26;0.5200
25714;25;0.5435
25716;24;0.4800
25720;25;0.4545
25721;25;0.5102
25724;25;0.4717
25725;25;0.4310
25726;25;0.4717
25728;24;0.5106
25729;25;0.5435
25730;25;0.5814
25731;25;0.4630
25737;24;0.5455
25738;24;0.4706
25746;24;0.5217
25773;24;0.6154
26056;26;0.3514
29903;25;0.5208
29905;25;0.5102
31164;26;0.4262
33817;24;0.4000
34223;24;0.5106
34888;25;0.6410
38165;25;0.5208
38794;26;0.4407
45674;27;0.4821
55270;24;0.4706
55328;27;0.5870
55341;27;0.5294
55842;24;0.4706
55899;25;0.4545
55995;24;0.4706
56002;24;0.4706
56116;24;0.4706
56120;24;0.4364
59173;24;0.6154
61223;24;0.3429
63541;24;0.5714
64056;25;0.4545
64304;25;0.3472
64412;26;0.6047
65504;26;0.3824
67056;26;0.4062
76457;24;0.3871
81841;27;0.3253
82045;25;0.4386
82107;25;0.4464
82114;24;0.4528
85583;24;0.5581
87233;26;0.4333
89574;25;0.5682
90453;24;0.5854
91915;25;0.4545
93119;24;0.3750
99484;24;0.4364
99489;24;0.4364
101100;24;0.4444
101861;25;0.5102
101862;26;0.4561
107256;25;0.4545
109116;26;0.3171
113023;28;0.2828
113979;26;0.3881
115269;26;0.5909
116774;24;0.5217
117304;24;0.5333
118266;26;0.3881
119651;26;0.5652
120184;26;0.3421
120200;26;0.3421
120201;26;0.3421
120209;26;0.3421
127712;26;0.4815
130859;26;0.4062
132920;24;0.4444
136298;27;0.4030
137930;24;0.6000
138298;24;0.2637
140227;26;0.6500
143059;27;0.4655
166761;26;0.5306
167562;24;0.3810
178945;27;0.2647
180576;26;0.5778
186220;24;0.6000
187298;25;0.3289
187378;24;0.5106
188123;28;0.5000
188182;24;0.4286
188480;26;0.6190
188778;26;0.4906
190367;24;0.6486
192245;25;0.3012
192376;26;0.4333
193008;26;0.6047
194149;24;0.5581
195163;25;0.5682
197605;26;0.2921
202865;24;0.5714
203298;26;0.6667
203299;24;0.6154
204468;24;0.6000
209264;25;0.3472
212252;24;0.5333
212688;25;0.4545
212689;25;0.5682
212838;25;0.3676
212839;25;0.3205
212901;26;0.5000
212975;24;0.4528
213436;25;0.4464
213481;28;0.6512
213483;26;0.4262
213487;26;0.5652
213782;26;0.4262
214945;24;0.3333
215229;25;0.3378
217398;24;0.5854
220888;24;0.4800
221575;24;0.3636
229014;24;0.6154
239059;25;0.4386
239367;25;0.5208
240707;26;0.3939
244870;24;0.5333
245415;28;0.3544
245425;26;0.2989
245430;26;0.2989
248232;24;0.4364
249961;25;0.3247
250082;25;0.3788
250606;26;0.3467
250723;25;0.5208
250760;26;0.3824
250761;25;0.5102
250762;24;0.4528
257199;24;0.5854
258440;25;0.5102
268263;24;0.3529
268264;25;0.3378
268460;25;0.3472
268947;26;0.3210
269412;26;0.2574
269470;25;0.3472
269496;26;0.3421
269497;25;0.3125
269540;25;0.3472
269585;24;0.3429
269609;25;0.3472
269643;25;0.3378
269680;24;0.3692
269681;25;0.3205
269691;24;0.3636
270869;24;0.3810
270870;26;0.3210
272370;24;0.4068
274431;25;0.4902
276874;24;0.4615
288170;24;0.4615
291023;26;0.4815
292000;24;0.5455
292059;26;0.5532
294398;26;0.3768
296198;24;0.6000
296200;24;0.6154
296903;26;0.5000
297405;25;0.4464
304974;24;0.5455
307253;24;0.6154
311924;24;0.4615
312555;24;0.4800
316457;25;0.3165
323220;26;0.5200
330395;24;0.5854
331429;24;0.4800
331574;24;0.4286
334706;24;0.6000
336529;26;0.5909
339355;25;0.4902
345745;24;0.5455
