program id;overlap
74543;18
186227;18
190506;18
74532;17
22783;16
27924;16
66455;16
202171;16
240115;16
321573;16
5056;15
8515;15
26058;15
33062;15
47445;15
47605;15
66916;15
88732;15
90386;15
120615;15
127854;15
131951;15
155590;15
155592;15
155593;15
155594;15
155595;15
155606;15
155608;15
155619;15
155621;15
155623;15
155625;15
155636;15
155637;15
155638;15
155646;15
155647;15
155648;15
155649;15
155655;15
155656;15
155657;15
155658;15
155663;15
155664;15
155665;15
155669;15
155670;15
155673;15
