program_id;overlap_count;signature_length;jaccard_index
720;9;30;0.3000
1860;9;30;0.3000
2491;9;30;0.3000
2625;11;30;0.3667
5971;9;30;0.3000
7886;9;30;0.3000
7979;9;30;0.3000
8668;10;30;0.3333
8755;10;30;0.3333
20490;10;30;0.3333
22790;10;30;0.3333
22794;10;30;0.3333
23549;9;30;0.3000
24450;9;30;0.3000
27930;9;30;0.3000
36234;11;30;0.3667
46975;11;30;0.3667
49620;9;30;0.3000
51350;9;30;0.3000
51677;9;30;0.3000
51678;9;30;0.3000
53800;9;30;0.3000
54347;9;30;0.3000
57660;9;30;0.3000
57773;9;30;0.3000
58633;9;30;0.3000
60655;10;30;0.3333
61503;9;30;0.3000
62048;9;30;0.3000
65515;9;30;0.3000
66339;9;30;0.3000
66665;9;30;0.3000
69623;11;30;0.3667
71523;11;30;0.3667
71868;11;30;0.3667
72292;10;30;0.3333
74802;12;30;0.4000
76896;10;30;0.3333
76897;10;30;0.3333
80685;11;30;0.3667
80723;10;30;0.3333
81609;12;30;0.4000
82290;10;30;0.3333
82997;10;30;0.3333
119930;11;30;0.3667
120326;11;30;0.3667
120486;10;30;0.3333
126862;9;30;0.3000
127240;11;30;0.3667
130667;11;30;0.3667
133610;10;30;0.3333
151781;10;30;0.3333
151792;10;30;0.3333
171834;11;30;0.3667
174868;9;30;0.3000
174910;9;30;0.3000
175006;10;30;0.3333
175864;10;30;0.3333
176708;11;30;0.3667
177237;9;30;0.3000
177339;9;30;0.3000
177853;9;30;0.3000
178129;9;30;0.3000
179999;9;30;0.3000
180613;9;30;0.3000
182082;9;30;0.3000
187581;9;30;0.3000
188684;10;30;0.3333
189671;9;30;0.3000
189726;9;30;0.3000
191313;9;30;0.3000
198759;9;30;0.3000
204330;12;30;0.4000
211275;9;30;0.3000
218447;9;30;0.3000
226405;10;30;0.3333
235224;11;30;0.3667
236326;10;30;0.3333
254710;10;30;0.3333
256971;10;30;0.3333
269850;9;30;0.3000
269908;9;30;0.3000
279847;9;30;0.3000
279910;9;30;0.3000
281005;9;30;0.3000
283498;9;30;0.3000
285881;9;30;0.3000
285977;10;30;0.3333
286806;10;30;0.3333
286924;9;30;0.3000
287549;10;30;0.3333
300270;9;30;0.3000
303304;9;30;0.3000
309125;10;30;0.3333
330910;9;30;0.3000
337286;10;30;0.3333
345867;10;30;0.3333
346155;9;30;0.3000
346870;9;30;0.3000
347581;10;30;0.3333
