program id;overlap
212965;18
257083;18
271713;18
271723;18
298950;18
299265;17
311889;17
312927;17
313212;17
313722;17
314095;17
314109;17
315491;17
310371;16
313031;16
7533;15
26395;15
33826;15
40414;15
43621;15
43623;15
47595;15
57349;15
65917;15
69976;15
100659;15
104248;15
106829;15
108627;15
153127;15
186424;15
250657;15
250658;15
257721;15
266883;15
285958;15
292278;15
299641;15
306480;15
311225;15
311262;15
311290;15
312897;15
312935;15
313738;15
314890;15
329402;15
329513;15
329952;15
1082;14
