program id;overlap
74066;17
158677;16
192026;16
217238;16
351762;16
351763;16
351777;16
1603;15
4741;15
6153;15
8401;15
26927;15
36505;15
45678;15
82043;15
90137;15
104002;15
105125;15
109814;15
113895;15
116666;15
116924;15
117520;15
120293;15
132812;15
138037;15
144598;15
144607;15
155495;15
167571;15
175114;15
177427;15
179995;15
202363;15
204841;15
225846;15
226720;15
230849;15
230850;15
233744;15
240847;15
250354;15
253146;15
253671;15
255177;15
255463;15
264782;15
273926;15
277506;15
288707;15
