program_id;overlap_count;signature_length;jaccard_index
529;14;30;0.4667
9474;14;30;0.4667
14637;15;30;0.5000
19553;14;30;0.4667
22782;15;30;0.5000
22784;14;30;0.4667
22785;14;30;0.4667
22927;13;30;0.4333
24195;16;30;0.5333
25701;13;30;0.4333
25702;14;30;0.4667
25713;13;30;0.4333
25714;16;30;0.5333
25716;16;30;0.5333
25720;14;30;0.4667
25721;15;30;0.5000
25726;14;30;0.4667
25728;15;30;0.5000
25729;16;30;0.5333
25730;14;30;0.4667
25737;13;30;0.4333
25738;15;30;0.5000
25746;14;30;0.4667
27975;15;30;0.5000
29903;13;30;0.4333
29905;13;30;0.4333
44909;14;30;0.4667
44910;13;30;0.4333
50684;13;30;0.4333
53154;13;30;0.4333
55899;15;30;0.5000
65504;14;30;0.4667
82981;14;30;0.4667
83324;13;30;0.4333
87233;13;30;0.4333
95345;13;30;0.4333
96829;13;30;0.4333
99489;14;30;0.4667
107383;14;30;0.4667
115269;14;30;0.4667
121986;14;30;0.4667
127712;14;30;0.4667
130859;14;30;0.4667
132920;14;30;0.4667
134064;14;30;0.4667
138298;14;30;0.4667
139477;14;30;0.4667
175828;16;30;0.5333
184744;13;30;0.4333
186154;13;30;0.4333
186274;14;30;0.4667
186321;14;30;0.4667
186495;14;30;0.4667
186499;14;30;0.4667
187298;14;30;0.4667
187387;13;30;0.4333
188082;14;30;0.4667
188123;14;30;0.4667
188293;14;30;0.4667
193008;14;30;0.4667
196747;15;30;0.5000
204879;14;30;0.4667
208259;13;30;0.4333
212689;13;30;0.4333
212901;14;30;0.4667
213481;13;30;0.4333
213483;13;30;0.4333
217398;14;30;0.4667
226903;14;30;0.4667
245415;16;30;0.5333
245420;16;30;0.5333
245423;15;30;0.5000
245425;18;30;0.6000
245426;17;30;0.5667
250723;13;30;0.4333
250761;15;30;0.5000
250762;15;30;0.5000
265026;13;30;0.4333
268579;14;30;0.4667
272370;14;30;0.4667
276873;14;30;0.4667
276874;15;30;0.5000
276880;14;30;0.4667
276889;14;30;0.4667
288170;15;30;0.5000
289877;15;30;0.5000
292000;14;30;0.4667
296903;13;30;0.4333
307464;15;30;0.5000
308265;13;30;0.4333
308266;13;30;0.4333
313837;14;30;0.4667
313891;13;30;0.4333
313894;13;30;0.4333
315057;13;30;0.4333
320429;13;30;0.4333
329923;15;30;0.5000
330116;14;30;0.4667
336529;14;30;0.4667
339355;13;30;0.4333
