program_id;overlap_count;signature_length;jaccard_index
3771;8;30;0.2667
4539;8;30;0.2667
6337;9;30;0.3000
8679;8;30;0.2667
10467;8;30;0.2667
22786;9;30;0.3000
40860;8;30;0.2667
44287;10;30;0.3333
44296;10;30;0.3333
44667;10;30;0.3333
44676;10;30;0.3333
48307;8;30;0.2667
49650;8;30;0.2667
62458;9;30;0.3000
72154;9;30;0.3000
80723;8;30;0.2667
81179;8;30;0.2667
83582;8;30;0.2667
84135;9;30;0.3000
86180;8;30;0.2667
91870;8;30;0.2667
97509;8;30;0.2667
102285;9;30;0.3000
102773;8;30;0.2667
108404;9;30;0.3000
115036;9;30;0.3000
120728;8;30;0.2667
130569;9;30;0.3000
146962;9;30;0.3000
152265;9;30;0.3000
153594;9;30;0.3000
154235;8;30;0.2667
154346;8;30;0.2667
161727;9;30;0.3000
161944;9;30;0.3000
162274;9;30;0.3000
162557;9;30;0.3000
162698;8;30;0.2667
162769;9;30;0.3000
163073;9;30;0.3000
163146;9;30;0.3000
163306;9;30;0.3000
163348;9;30;0.3000
163470;9;30;0.3000
163609;9;30;0.3000
163614;9;30;0.3000
164033;9;30;0.3000
164037;9;30;0.3000
164299;9;30;0.3000
164305;9;30;0.3000
164543;9;30;0.3000
164552;8;30;0.2667
164588;9;30;0.3000
164606;9;30;0.3000
164609;9;30;0.3000
171419;8;30;0.2667
188935;8;30;0.2667
191404;8;30;0.2667
195034;9;30;0.3000
196666;8;30;0.2667
212748;9;30;0.3000
236312;9;30;0.3000
242894;9;30;0.3000
248897;8;30;0.2667
250120;8;30;0.2667
255453;8;30;0.2667
264894;8;30;0.2667
267414;8;30;0.2667
276862;9;30;0.3000
281005;8;30;0.2667
285391;8;30;0.2667
292987;8;30;0.2667
293314;8;30;0.2667
299915;8;30;0.2667
301718;11;30;0.3667
310372;8;30;0.2667
310408;14;30;0.4667
310409;14;30;0.4667
310504;14;30;0.4667
310505;14;30;0.4667
310518;14;30;0.4667
310525;13;30;0.4333
310526;14;30;0.4667
311440;11;30;0.3667
311593;14;30;0.4667
311601;14;30;0.4667
312507;14;30;0.4667
312556;14;30;0.4667
313053;11;30;0.3667
313090;11;30;0.3667
313781;9;30;0.3000
313782;11;30;0.3667
314220;11;30;0.3667
314754;8;30;0.2667
314886;8;30;0.2667
315171;8;30;0.2667
315311;14;30;0.4667
315477;9;30;0.3000
322450;8;30;0.2667
346804;10;30;0.3333
