program_id;overlap_count;signature_length;jaccard_index
2144;8;30;0.2667
2145;8;30;0.2667
6005;9;30;0.3000
24897;8;30;0.2667
24898;9;30;0.3000
24901;9;30;0.3000
24903;9;30;0.3000
24904;9;30;0.3000
24908;8;30;0.2667
24912;8;30;0.2667
24913;8;30;0.2667
24914;8;30;0.2667
28879;9;30;0.3000
30432;8;30;0.2667
30433;8;30;0.2667
33868;9;30;0.3000
45392;9;30;0.3000
45437;9;30;0.3000
45458;9;30;0.3000
48974;8;30;0.2667
61239;9;30;0.3000
62876;9;30;0.3000
65091;8;30;0.2667
67076;9;30;0.3000
81759;8;30;0.2667
89033;8;30;0.2667
89079;9;30;0.3000
89253;8;30;0.2667
90658;8;30;0.2667
92074;9;30;0.3000
97338;8;30;0.2667
97363;8;30;0.2667
97538;8;30;0.2667
97539;8;30;0.2667
98033;8;30;0.2667
100672;11;30;0.3667
102700;9;30;0.3000
102768;8;30;0.2667
102851;9;30;0.3000
105854;9;30;0.3000
107306;8;30;0.2667
108233;8;30;0.2667
108584;8;30;0.2667
108856;8;30;0.2667
108979;8;30;0.2667
111224;8;30;0.2667
111333;8;30;0.2667
112772;8;30;0.2667
124127;9;30;0.3000
127329;8;30;0.2667
129484;9;30;0.3000
132194;11;30;0.3667
133869;9;30;0.3000
133870;9;30;0.3000
138620;8;30;0.2667
138623;9;30;0.3000
138628;8;30;0.2667
138634;8;30;0.2667
138643;8;30;0.2667
139487;9;30;0.3000
141852;9;30;0.3000
141869;9;30;0.3000
141890;9;30;0.3000
141977;9;30;0.3000
142009;9;30;0.3000
142021;8;30;0.2667
142033;9;30;0.3000
142035;9;30;0.3000
142050;9;30;0.3000
142051;9;30;0.3000
142076;9;30;0.3000
142077;9;30;0.3000
142078;9;30;0.3000
142082;9;30;0.3000
142084;9;30;0.3000
142715;9;30;0.3000
153134;9;30;0.3000
153218;9;30;0.3000
153355;8;30;0.2667
153766;8;30;0.2667
154115;9;30;0.3000
158850;8;30;0.2667
172367;9;30;0.3000
173064;9;30;0.3000
175216;8;30;0.2667
175753;8;30;0.2667
178389;9;30;0.3000
186293;8;30;0.2667
186294;9;30;0.3000
186295;8;30;0.2667
186296;9;30;0.3000
186297;8;30;0.2667
186298;8;30;0.2667
186304;9;30;0.3000
215848;8;30;0.2667
246965;8;30;0.2667
258663;8;30;0.2667
277992;8;30;0.2667
280084;8;30;0.2667
298252;8;30;0.2667
