program id;overlap
190976;28
32031;26
47053;26
47058;26
51188;26
51189;26
51232;26
51262;26
52562;26
145448;26
196258;26
228291;26
1906;25
4146;25
64831;25
72130;25
27876;24
287813;24
6012;23
30297;23
52913;23
52961;23
60995;23
64633;23
67550;23
