program_id;overlap_count;jaccard_index
6586;25;0.5000
7040;24;0.5455
8401;23;0.4423
8513;23;0.4600
8516;26;0.3421
9440;23;0.4894
9470;23;0.4894
9474;23;0.5349
10189;24;0.5714
18246;23;0.6216
19553;23;0.4600
20992;24;0.5455
22782;26;0.4643
22784;23;0.4423
22785;23;0.4894
22927;26;0.6190
25702;23;0.4792
25716;24;0.4898
25720;26;0.4906
25721;24;0.4898
25724;25;0.4808
25725;25;0.4386
25726;26;0.5098
25728;23;0.4894
25731;24;0.4444
25738;23;0.4510
26056;27;0.3750
28828;23;0.5349
33817;25;0.4310
33831;23;0.6765
35936;24;0.6486
37085;24;0.5106
38794;26;0.4483
40790;24;0.6857
44910;25;0.4630
44950;25;0.6579
47786;23;0.4340
47878;24;0.5854
49008;27;0.6000
49626;26;0.4127
53581;24;0.4800
54605;24;0.4138
58319;26;0.3133
61087;23;0.4792
61223;25;0.3676
61479;24;0.4528
64303;23;0.3833
64304;25;0.3521
65504;27;0.4091
67056;26;0.4127
71738;25;0.4808
76457;23;0.3710
76459;24;0.3636
78614;27;0.6000
81841;28;0.3457
82045;25;0.4464
82107;25;0.4545
82114;24;0.4615
82942;24;0.4211
82981;23;0.4894
87233;26;0.4407
90199;24;0.4000
92338;25;0.5000
93041;26;0.5098
93119;24;0.3810
94201;23;0.3833
94686;23;0.5111
94794;24;0.4000
95345;23;0.5476
99489;24;0.4444
100169;23;0.3651
104162;23;0.6389
106481;23;0.6216
107255;23;0.5349
107256;25;0.4630
109116;26;0.3210
109117;24;0.4000
109499;23;0.6216
113023;24;0.2353
113968;23;0.4035
118266;24;0.3529
120184;26;0.3467
120200;26;0.3467
120201;26;0.3467
120202;24;0.6316
120209;26;0.3467
129029;24;0.4138
130859;27;0.4355
131835;24;0.6000
132920;25;0.4808
133641;23;0.5000
134632;25;0.3906
134633;23;0.4510
136107;23;0.6765
136298;23;0.3286
136572;25;0.7143
137319;24;0.6316
138298;26;0.2955
141496;23;0.6571
146983;23;0.5227
155972;24;0.5333
157865;23;0.6389
167562;24;0.3871
169713;23;0.3485
171900;24;0.4800
175114;23;0.4423
175409;25;0.6757
178465;23;0.6389
178945;26;0.2549
179995;23;0.4423
181586;24;0.5581
184627;24;0.5217
184736;25;0.5102
184744;25;0.4386
186276;25;0.5102
186318;24;0.4800
186495;24;0.5455
186499;25;0.5556
186500;25;0.5208
187298;26;0.3514
187388;24;0.5106
188082;23;0.5610
188182;25;0.4630
188590;23;0.6053
189735;25;0.5952
192245;25;0.3049
192975;23;0.5111
197605;26;0.2955
204078;23;0.5476
204879;23;0.4792
206143;25;0.5952
208259;24;0.5581
209263;24;0.3934
209264;26;0.3714
209295;26;0.5200
209648;25;0.3968
212838;25;0.3731
212839;26;0.3421
212901;24;0.4528
212975;25;0.4902
213483;27;0.4576
213782;27;0.4576
214860;24;0.5581
214945;25;0.3571
215229;26;0.3611
216109;23;0.4107
216113;24;0.3934
217402;23;0.4894
221465;24;0.4000
221575;24;0.3692
223577;25;0.4902
225152;24;0.7500
226577;24;0.6316
226903;23;0.3538
227013;24;0.4000
228221;25;0.3623
229535;23;0.6389
230603;23;0.6389
231151;23;0.4894
232423;24;0.6486
239059;25;0.4464
240707;26;0.4000
245404;23;0.6053
245415;23;0.2771
245418;24;0.4000
245420;25;0.3906
245423;25;0.4167
245425;26;0.3023
245426;25;0.4098
245430;26;0.3023
245624;23;0.6389
245997;23;0.4182
248232;26;0.5000
249769;24;0.7500
249961;26;0.3467
250082;25;0.3846
250337;24;0.4000
250354;24;0.3529
250363;24;0.3478
250606;25;0.3333
250760;25;0.3676
250761;25;0.5208
250762;25;0.4902
255177;23;0.4423
255178;23;0.3833
256817;25;0.5319
257171;24;0.6486
265026;23;0.6970
267472;25;0.3731
268263;24;0.3582
268264;25;0.3425
268459;24;0.3810
268460;25;0.3521
268622;24;0.6857
268946;24;0.4000
268947;26;0.3250
269412;26;0.2600
269469;24;0.4000
269470;25;0.3521
269496;26;0.3467
269497;25;0.3165
269539;24;0.4000
269540;25;0.3521
269585;25;0.3676
269608;24;0.4000
269609;25;0.3521
269621;24;0.4000
269642;24;0.4000
269643;25;0.3425
269680;24;0.3750
269681;25;0.3247
269691;24;0.3692
269777;24;0.4000
270006;25;0.5556
270653;26;0.4815
270684;24;0.6154
270869;23;0.3651
270870;26;0.3250
271439;24;0.6857
271484;23;0.5349
272370;25;0.4386
276874;24;0.4706
277450;26;0.6667
279054;25;0.5952
281746;23;0.4340
283709;26;0.4483
288170;24;0.4706
290391;24;0.4138
294398;28;0.4242
297405;24;0.4286
299913;25;0.4098
307119;23;0.6571
310397;24;0.5217
310440;23;0.6571
310503;23;0.6970
311843;24;0.6667
311914;25;0.6579
312289;24;0.5455
312506;23;0.6970
312549;23;0.6970
312927;26;0.5778
313614;25;0.6250
313745;23;0.6571
313772;24;0.6857
313837;24;0.4138
313875;23;0.5897
313887;23;0.6571
313962;25;0.5208
314051;23;0.6389
315057;23;0.5897
315530;24;0.5581
315733;24;0.5333
316457;26;0.3377
319697;23;0.6216
320429;23;0.4423
321232;24;0.6857
323220;23;0.4423
323294;25;0.6757
324400;23;0.6389
328778;24;0.6316
329510;24;0.5581
329533;24;0.5000
329723;23;0.6053
330116;23;0.4894
331321;24;0.6667
334413;23;0.6389
335903;27;0.5294
338653;23;0.6765
339355;24;0.4706
