program id;overlap
124846;21
275198;21
75438;20
125231;20
327853;20
28326;19
103406;19
128710;19
134399;19
7318;18
55137;18
86645;18
104002;18
105125;18
116192;18
124928;18
135837;18
143333;18
155998;18
162483;18
165202;18
171462;18
187307;18
255463;18
279891;18
309214;18
3056;17
26729;17
36800;17
36826;17
70216;17
109873;17
114870;17
116666;17
116924;17
124725;17
124847;17
125092;17
127778;17
133934;17
134447;17
138057;17
139459;17
139633;17
141429;17
158841;17
162590;17
166555;17
173395;17
177809;17
