program id;overlap
326238;20
326812;19
13981;18
54015;18
57022;18
62359;18
86670;18
100190;18
143077;18
293077;18
307163;18
337297;18
345098;18
345176;18
19465;17
19466;17
29551;17
37634;17
50457;17
52985;17
57021;17
62796;17
80873;17
82459;17
83727;17
87572;17
91570;17
103932;17
128621;17
162762;17
171475;17
192475;17
193767;17
217615;17
217872;17
225008;17
226590;17
253675;17
256539;17
287425;17
296083;17
301758;17
308047;17
308570;17
326503;17
332619;17
337180;17
341276;17
342675;17
346878;17
