program id;overlap
26219;26
26185;18
104584;18
115006;18
2798;17
45572;17
47395;17
47407;17
47529;17
56578;17
61100;17
74837;17
84967;17
85820;17
90772;17
91999;17
103486;17
134442;17
166727;17
166728;17
166729;17
166959;17
168574;17
179819;17
185039;17
222657;17
259755;17
267958;17
289195;17
301451;17
301617;17
301621;17
306771;17
339531;17
347836;17
347837;17
347838;17
17239;16
17240;16
17241;16
68722;16
121470;16
121628;16
131757;16
160250;16
175109;16
186424;16
192827;16
213045;16
214732;16
