program_id;overlap_count;signature_length;jaccard_index
1622;5;30;0.1667
2622;6;30;0.2000
5812;6;30;0.2000
8344;5;30;0.1667
14881;5;30;0.1667
14903;5;30;0.1667
14907;5;30;0.1667
14909;5;30;0.1667
14914;5;30;0.1667
21721;5;30;0.1667
24164;6;30;0.2000
29114;5;30;0.1667
29119;5;30;0.1667
29122;5;30;0.1667
29128;5;30;0.1667
30847;5;30;0.1667
30944;5;30;0.1667
33145;5;30;0.1667
33827;6;30;0.2000
35011;5;30;0.1667
37561;5;30;0.1667
37653;5;30;0.1667
37660;5;30;0.1667
37833;6;30;0.2000
39636;5;30;0.1667
53830;5;30;0.1667
55582;6;30;0.2000
55941;5;30;0.1667
60677;5;30;0.1667
63511;5;30;0.1667
66368;6;30;0.2000
80144;5;30;0.1667
82486;5;30;0.1667
86689;5;30;0.1667
90618;6;30;0.2000
93610;6;30;0.2000
95177;5;30;0.1667
111686;5;30;0.1667
111972;5;30;0.1667
111982;5;30;0.1667
113532;5;30;0.1667
115716;5;30;0.1667
120520;5;30;0.1667
122056;5;30;0.1667
123022;5;30;0.1667
123066;5;30;0.1667
123095;5;30;0.1667
126792;6;30;0.2000
128055;7;30;0.2333
130237;6;30;0.2000
134022;5;30;0.1667
134024;5;30;0.1667
135089;6;30;0.2000
139351;6;30;0.2000
145130;6;30;0.2000
154949;5;30;0.1667
157241;6;30;0.2000
168625;5;30;0.1667
176281;6;30;0.2000
176841;5;30;0.1667
192255;5;30;0.1667
194102;5;30;0.1667
202462;5;30;0.1667
204560;6;30;0.2000
211666;7;30;0.2333
213544;5;30;0.1667
214060;6;30;0.2000
215883;6;30;0.2000
216762;7;30;0.2333
222132;5;30;0.1667
226765;5;30;0.1667
227400;5;30;0.1667
239297;5;30;0.1667
242091;5;30;0.1667
242650;5;30;0.1667
262303;6;30;0.2000
267807;6;30;0.2000
268726;6;30;0.2000
268727;5;30;0.1667
276191;5;30;0.1667
277314;6;30;0.2000
277329;6;30;0.2000
277822;6;30;0.2000
285203;6;30;0.2000
286298;6;30;0.2000
289812;5;30;0.1667
294936;5;30;0.1667
299090;5;30;0.1667
307229;5;30;0.1667
307304;5;30;0.1667
309878;6;30;0.2000
312941;5;30;0.1667
320065;7;30;0.2333
323223;5;30;0.1667
327706;6;30;0.2000
327708;6;30;0.2000
328824;6;30;0.2000
337631;5;30;0.1667
342831;6;30;0.2000
347677;5;30;0.1667
