program id;overlap
75893;16
80204;16
99099;16
193464;16
258948;16
267689;16
289946;16
425;15
741;15
912;15
47501;15
48162;15
73218;15
89186;15
100703;15
109545;15
110520;15
114771;15
125199;15
127423;15
129135;15
129136;15
129149;15
129153;15
129217;15
129218;15
129238;15
129255;15
129447;15
133209;15
133539;15
143272;15
145323;15
145528;15
145530;15
145698;15
145700;15
151781;15
151790;15
151792;15
155086;15
176441;15
178892;15
178894;15
178896;15
182191;15
182541;15
184621;15
188934;15
190050;15
