program_id;overlap_count;jaccard_index
73;15;0.7500
1350;16;0.8421
4016;15;0.7500
6053;15;0.7143
7179;16;0.8000
8679;15;0.7143
14236;16;0.7619
18252;16;0.8000
22922;16;0.8000
25854;15;0.7500
25876;15;0.7500
25889;15;0.7500
25894;15;0.7500
25896;15;0.7500
25906;15;0.7500
25910;15;0.7500
25912;15;0.7500
25913;15;0.7500
25915;15;0.7500
25917;15;0.7500
25918;15;0.7500
25919;15;0.7500
25921;15;0.7500
25922;15;0.7500
25923;15;0.7500
25926;15;0.7500
28725;15;0.7500
28913;15;0.6818
34960;16;0.8000
38800;16;0.8000
60161;17;0.8500
64780;15;0.7500
65310;15;0.7500
66246;15;0.7143
75111;15;0.6818
76505;15;0.7500
78442;17;0.9444
84860;15;0.7500
89723;17;0.8500
93040;15;0.6818
95346;17;0.8947
95907;15;0.7143
97073;15;0.7500
97075;17;0.8947
99072;16;0.8000
101096;15;0.7500
101399;15;0.7143
105563;15;0.7500
112532;15;0.7500
115341;16;0.8421
116127;16;0.8421
116404;15;0.7500
120186;16;0.8000
120194;16;0.8000
120523;15;0.7500
120525;15;0.7143
120614;16;0.8000
120691;15;0.7500
122931;15;0.7500
127899;17;0.8500
131309;17;0.9444
137584;15;0.7143
139140;15;0.7500
144609;15;0.7500
144611;15;0.7143
156232;16;0.7619
158948;15;0.7143
162154;15;0.7143
163602;16;0.8421
166065;15;0.6818
166578;16;0.8000
166918;15;0.7143
173517;15;0.6818
173673;15;0.7143
181532;15;0.7143
182618;18;0.9474
183061;17;0.8500
188295;16;0.7619
211006;15;0.7500
214861;15;0.7143
215448;15;0.7143
219754;15;0.6818
220492;15;0.6818
220495;15;0.7500
226122;16;0.8000
226205;15;0.6818
227842;16;0.8421
245401;16;0.7619
249032;17;0.9444
254378;17;0.8947
255308;16;0.8000
255309;16;0.7619
270226;16;0.8421
274638;16;0.8000
275434;15;0.7500
276858;15;0.7500
276859;15;0.7143
278169;15;0.7500
280399;15;0.7143
284620;16;0.8000
285076;16;0.8000
286016;16;0.8421
287733;15;0.7500
289120;15;0.7143
289139;15;0.6818
291289;16;0.8421
293014;15;0.7143
293668;15;0.7500
301697;15;0.7500
322940;16;0.8000
327180;15;0.7500
340760;15;0.7500
340793;15;0.6818
