program id;overlap
154999;21
253477;21
253689;21
9778;20
99589;20
133273;20
300484;20
6062;19
6244;19
7667;19
38360;19
48909;19
49293;19
65506;19
79755;19
80049;19
92444;19
95308;19
97579;19
101497;19
101498;19
107075;19
107118;19
111574;19
122519;19
124312;19
124313;19
128917;19
128919;19
128922;19
131041;19
131215;19
131751;19
133141;19
143056;19
144927;19
144929;19
145718;19
157093;19
164396;19
164444;19
164463;19
164475;19
164490;19
165470;19
167778;19
167779;19
176290;19
180920;19
189318;19
