program id;overlap
249891;18
274671;18
13492;17
27922;17
52747;17
79643;17
92366;17
98992;17
105871;17
108628;17
119370;17
121320;17
133336;17
153026;17
182349;17
182626;17
187151;17
208675;17
245929;17
273716;17
275289;17
276063;17
343549;17
1471;16
2467;16
