program_id;overlap_count;signature_length;jaccard_index
1846;4;30;0.1333
4630;4;30;0.1333
27025;3;30;0.1000
40604;3;30;0.1000
40609;3;30;0.1000
40684;3;30;0.1000
40707;3;30;0.1000
40710;3;30;0.1000
40762;3;30;0.1000
46177;4;30;0.1333
48691;4;30;0.1333
58794;4;30;0.1333
60603;3;30;0.1000
61679;5;30;0.1667
64749;3;30;0.1000
68722;4;30;0.1333
69080;5;30;0.1667
69473;4;30;0.1333
69759;4;30;0.1333
80663;4;30;0.1333
81437;4;30;0.1333
82109;4;30;0.1333
83069;4;30;0.1333
85151;4;30;0.1333
87449;4;30;0.1333
96000;4;30;0.1333
104676;4;30;0.1333
106648;5;30;0.1667
113338;4;30;0.1333
123656;5;30;0.1667
126275;3;30;0.1000
131588;4;30;0.1333
137928;3;30;0.1000
142717;4;30;0.1333
146564;4;30;0.1333
147513;3;30;0.1000
157367;4;30;0.1333
157706;4;30;0.1333
157912;4;30;0.1333
158222;4;30;0.1333
158479;4;30;0.1333
158481;4;30;0.1333
158482;5;30;0.1667
158488;4;30;0.1333
158736;3;30;0.1000
158737;3;30;0.1000
158738;3;30;0.1000
158739;3;30;0.1000
160827;4;30;0.1333
160828;4;30;0.1333
162024;3;30;0.1000
162316;4;30;0.1333
163827;5;30;0.1667
165563;4;30;0.1333
165677;4;30;0.1333
165679;4;30;0.1333
174962;3;30;0.1000
176777;4;30;0.1333
178218;4;30;0.1333
179370;4;30;0.1333
180919;3;30;0.1000
181106;4;30;0.1333
183865;4;30;0.1333
184536;4;30;0.1333
184636;4;30;0.1333
194069;4;30;0.1333
194073;4;30;0.1333
196472;3;30;0.1000
200975;4;30;0.1333
201812;4;30;0.1333
201813;4;30;0.1333
207449;4;30;0.1333
208064;4;30;0.1333
208114;4;30;0.1333
208375;5;30;0.1667
211412;5;30;0.1667
212347;4;30;0.1333
214345;4;30;0.1333
224336;4;30;0.1333
224337;4;30;0.1333
224338;4;30;0.1333
227776;4;30;0.1333
227786;4;30;0.1333
229903;3;30;0.1000
248974;4;30;0.1333
249356;4;30;0.1333
267797;3;30;0.1000
269237;4;30;0.1333
276026;4;30;0.1333
290325;4;30;0.1333
290744;4;30;0.1333
304165;3;30;0.1000
304619;4;30;0.1333
320431;4;30;0.1333
322830;4;30;0.1333
328407;3;30;0.1000
332145;3;30;0.1000
338588;4;30;0.1333
339048;3;30;0.1000
343442;4;30;0.1333
