program id;overlap
140246;21
178236;21
188882;21
20780;20
77451;20
176052;20
2194;19
7493;19
19973;19
60006;19
73447;19
86088;19
90388;19
116425;19
157215;19
160389;19
165663;19
176106;19
176107;19
176319;19
176320;19
176396;19
196361;19
223139;19
231187;19
255249;19
305326;19
332437;19
332438;19
344111;19
348720;19
348723;19
10478;18
10590;18
10626;18
88543;18
104956;18
109134;18
171541;18
176054;18
176516;18
176517;18
176518;18
176519;18
176520;18
176523;18
181624;18
189968;18
318605;18
10472;17
