program_id;overlap_count;signature_length;jaccard_index
3274;5;30;0.1667
4291;6;30;0.2000
5614;5;30;0.1667
5680;6;30;0.2000
7917;6;30;0.2000
7948;5;30;0.1667
8949;5;30;0.1667
14675;5;30;0.1667
20903;5;30;0.1667
31218;6;30;0.2000
37125;5;30;0.1667
39635;5;30;0.1667
43529;6;30;0.2000
45457;5;30;0.1667
53475;5;30;0.1667
60265;6;30;0.2000
60308;6;30;0.2000
60715;5;30;0.1667
65384;6;30;0.2000
68794;5;30;0.1667
70321;6;30;0.2000
70333;5;30;0.1667
71602;5;30;0.1667
72438;5;30;0.1667
76618;5;30;0.1667
76640;5;30;0.1667
78135;5;30;0.1667
78788;5;30;0.1667
80305;6;30;0.2000
81676;7;30;0.2333
82410;5;30;0.1667
82691;4;30;0.1333
83456;5;30;0.1667
88371;6;30;0.2000
89946;5;30;0.1667
92534;5;30;0.1667
93462;5;30;0.1667
93646;5;30;0.1667
94802;6;30;0.2000
97105;5;30;0.1667
97377;5;30;0.1667
97790;5;30;0.1667
99985;6;30;0.2000
101037;5;30;0.1667
107017;5;30;0.1667
126237;5;30;0.1667
127246;5;30;0.1667
130296;5;30;0.1667
134875;5;30;0.1667
137327;5;30;0.1667
139764;5;30;0.1667
144786;6;30;0.2000
151799;6;30;0.2000
163704;5;30;0.1667
167185;6;30;0.2000
167878;5;30;0.1667
168265;5;30;0.1667
171712;5;30;0.1667
173388;5;30;0.1667
175077;6;30;0.2000
175217;5;30;0.1667
179276;6;30;0.2000
183110;4;30;0.1333
187816;5;30;0.1667
187818;4;30;0.1333
187950;5;30;0.1667
190482;5;30;0.1667
200810;5;30;0.1667
204455;7;30;0.2333
214684;5;30;0.1667
220280;5;30;0.1667
224911;5;30;0.1667
225667;5;30;0.1667
227841;5;30;0.1667
229611;5;30;0.1667
244042;5;30;0.1667
255824;5;30;0.1667
255827;5;30;0.1667
255829;5;30;0.1667
260188;7;30;0.2333
263694;5;30;0.1667
267935;6;30;0.2000
268669;5;30;0.1667
275437;6;30;0.2000
277070;4;30;0.1333
281727;5;30;0.1667
288469;5;30;0.1667
293838;5;30;0.1667
304273;5;30;0.1667
304491;6;30;0.2000
305801;5;30;0.1667
323075;7;30;0.2333
327939;5;30;0.1667
328478;5;30;0.1667
329277;5;30;0.1667
333794;5;30;0.1667
334913;7;30;0.2333
335022;5;30;0.1667
342023;5;30;0.1667
342126;5;30;0.1667
