program_id;overlap_count;signature_length;jaccard_index
5379;10;30;0.3333
8755;9;30;0.3000
13941;10;30;0.3333
19438;10;30;0.3333
23541;9;30;0.3000
37009;9;30;0.3000
49616;9;30;0.3000
51350;9;30;0.3000
54347;10;30;0.3333
66339;9;30;0.3000
71823;10;30;0.3333
72481;9;30;0.3000
73849;9;30;0.3000
73850;9;30;0.3000
73851;9;30;0.3000
74499;9;30;0.3000
74793;11;30;0.3667
74795;9;30;0.3000
74796;9;30;0.3000
74802;11;30;0.3667
75995;10;30;0.3333
80352;9;30;0.3000
80572;9;30;0.3000
81609;11;30;0.3667
81738;9;30;0.3000
82477;10;30;0.3333
82997;10;30;0.3333
83356;10;30;0.3333
88720;10;30;0.3333
94345;10;30;0.3333
98424;11;30;0.3667
98533;9;30;0.3000
99486;10;30;0.3333
100634;9;30;0.3000
102685;9;30;0.3000
103192;10;30;0.3333
106846;10;30;0.3333
109804;9;30;0.3000
126728;9;30;0.3000
129308;10;30;0.3333
131808;9;30;0.3000
132352;10;30;0.3333
140234;10;30;0.3333
161416;9;30;0.3000
174868;9;30;0.3000
175006;11;30;0.3667
177332;9;30;0.3000
178457;9;30;0.3000
180613;10;30;0.3333
182777;10;30;0.3333
183137;9;30;0.3000
183140;10;30;0.3333
183143;9;30;0.3000
189631;9;30;0.3000
189671;10;30;0.3333
189726;9;30;0.3000
191313;9;30;0.3000
195155;10;30;0.3333
203967;10;30;0.3333
204330;9;30;0.3000
212247;10;30;0.3333
212574;11;30;0.3667
212680;10;30;0.3333
212890;9;30;0.3000
213393;9;30;0.3000
213706;9;30;0.3000
215006;11;30;0.3667
217330;10;30;0.3333
219656;9;30;0.3000
220029;9;30;0.3000
220182;10;30;0.3333
224923;9;30;0.3000
226405;12;30;0.4000
231500;9;30;0.3000
231501;9;30;0.3000
231503;10;30;0.3333
231504;10;30;0.3333
231505;10;30;0.3333
231681;9;30;0.3000
231683;9;30;0.3000
233329;9;30;0.3000
238604;9;30;0.3000
239092;9;30;0.3000
258213;9;30;0.3000
265359;9;30;0.3000
274248;9;30;0.3000
286380;10;30;0.3333
300270;9;30;0.3000
303279;10;30;0.3333
312960;10;30;0.3333
324965;10;30;0.3333
325103;10;30;0.3333
325104;10;30;0.3333
328564;9;30;0.3000
330640;10;30;0.3333
337046;10;30;0.3333
338234;10;30;0.3333
342712;10;30;0.3333
346869;9;30;0.3000
347153;9;30;0.3000
