program_id;overlap_count;signature_length;jaccard_index
5898;4;30;0.1333
5915;4;30;0.1333
5920;4;30;0.1333
6010;4;30;0.1333
8679;5;30;0.1667
16817;4;30;0.1333
16959;4;30;0.1333
17031;4;30;0.1333
17152;4;30;0.1333
17222;4;30;0.1333
44162;4;30;0.1333
44420;4;30;0.1333
47284;4;30;0.1333
48772;4;30;0.1333
50403;4;30;0.1333
50404;4;30;0.1333
50405;4;30;0.1333
50406;4;30;0.1333
52936;4;30;0.1333
55580;4;30;0.1333
56108;4;30;0.1333
61874;4;30;0.1333
70998;4;30;0.1333
74149;4;30;0.1333
79498;4;30;0.1333
80040;4;30;0.1333
81076;4;30;0.1333
85260;4;30;0.1333
87453;4;30;0.1333
92167;4;30;0.1333
102428;4;30;0.1333
102631;4;30;0.1333
111868;5;30;0.1667
112072;4;30;0.1333
116757;4;30;0.1333
128822;4;30;0.1333
131439;4;30;0.1333
131820;4;30;0.1333
156676;4;30;0.1333
156677;4;30;0.1333
159664;4;30;0.1333
159668;4;30;0.1333
160682;4;30;0.1333
163303;4;30;0.1333
163683;4;30;0.1333
164278;4;30;0.1333
164583;4;30;0.1333
167498;4;30;0.1333
176805;4;30;0.1333
180030;4;30;0.1333
182664;4;30;0.1333
182767;4;30;0.1333
184012;4;30;0.1333
185594;4;30;0.1333
186575;5;30;0.1667
190337;4;30;0.1333
192793;4;30;0.1333
194455;4;30;0.1333
195034;4;30;0.1333
208148;4;30;0.1333
209262;5;30;0.1667
212748;4;30;0.1333
218078;4;30;0.1333
219088;4;30;0.1333
219211;4;30;0.1333
220425;4;30;0.1333
239056;5;30;0.1667
245951;4;30;0.1333
247157;4;30;0.1333
250758;4;30;0.1333
251936;5;30;0.1667
253130;5;30;0.1667
253654;4;30;0.1333
257589;4;30;0.1333
266436;4;30;0.1333
266698;4;30;0.1333
267531;4;30;0.1333
274269;4;30;0.1333
276878;4;30;0.1333
282848;4;30;0.1333
284777;4;30;0.1333
291034;4;30;0.1333
295089;4;30;0.1333
301687;4;30;0.1333
301973;4;30;0.1333
306546;4;30;0.1333
310525;4;30;0.1333
310526;4;30;0.1333
312556;4;30;0.1333
313703;4;30;0.1333
314886;4;30;0.1333
315061;4;30;0.1333
315395;4;30;0.1333
315396;4;30;0.1333
315418;4;30;0.1333
317333;4;30;0.1333
322675;4;30;0.1333
328982;5;30;0.1667
332027;4;30;0.1333
340497;4;30;0.1333
