program_id;overlap_count;signature_length;jaccard_index
14963;10;30;0.3333
62509;10;30;0.3333
65202;10;30;0.3333
66729;10;30;0.3333
72078;10;30;0.3333
73354;10;30;0.3333
77268;10;30;0.3333
78599;10;30;0.3333
80256;10;30;0.3333
135874;10;30;0.3333
140213;10;30;0.3333
140214;10;30;0.3333
163169;10;30;0.3333
175069;10;30;0.3333
216194;10;30;0.3333
220847;10;30;0.3333
238949;10;30;0.3333
239072;10;30;0.3333
270027;10;30;0.3333
270028;10;30;0.3333
270029;10;30;0.3333
270030;10;30;0.3333
270031;10;30;0.3333
270032;10;30;0.3333
270033;10;30;0.3333
270034;10;30;0.3333
270035;10;30;0.3333
304404;10;30;0.3333
343442;10;30;0.3333
