program_id;overlap_count;signature_length;jaccard_index
5969;9;30;0.3000
8670;8;30;0.2667
14021;8;30;0.2667
14027;8;30;0.2667
14033;8;30;0.2667
22790;8;30;0.2667
22794;8;30;0.2667
23539;8;30;0.2667
23542;8;30;0.2667
25698;8;30;0.2667
32801;8;30;0.2667
33960;8;30;0.2667
38376;8;30;0.2667
45749;8;30;0.2667
49616;8;30;0.2667
49806;8;30;0.2667
51350;8;30;0.2667
54347;8;30;0.2667
56489;9;30;0.3000
58633;8;30;0.2667
66339;8;30;0.2667
69812;8;30;0.2667
71377;8;30;0.2667
71424;8;30;0.2667
72176;9;30;0.3000
74784;8;30;0.2667
75681;8;30;0.2667
77950;8;30;0.2667
80724;8;30;0.2667
82290;8;30;0.2667
87733;8;30;0.2667
88163;9;30;0.3000
91000;8;30;0.2667
97038;8;30;0.2667
98531;8;30;0.2667
98533;8;30;0.2667
99534;8;30;0.2667
99850;8;30;0.2667
102378;11;30;0.3667
103568;8;30;0.2667
111093;8;30;0.2667
113240;8;30;0.2667
115012;8;30;0.2667
116520;8;30;0.2667
116522;8;30;0.2667
121924;8;30;0.2667
130252;8;30;0.2667
130692;8;30;0.2667
133548;9;30;0.3000
133549;9;30;0.3000
145132;8;30;0.2667
155498;8;30;0.2667
156875;8;30;0.2667
161416;8;30;0.2667
166023;8;30;0.2667
166465;8;30;0.2667
174868;8;30;0.2667
174935;8;30;0.2667
176737;8;30;0.2667
183137;9;30;0.3000
183139;9;30;0.3000
183140;8;30;0.2667
183143;8;30;0.2667
189631;8;30;0.2667
189667;10;30;0.3333
189726;8;30;0.2667
190121;10;30;0.3333
191313;8;30;0.2667
194817;9;30;0.3000
200264;8;30;0.2667
203967;8;30;0.2667
212744;8;30;0.2667
215006;9;30;0.3000
218443;9;30;0.3000
218445;9;30;0.3000
227327;8;30;0.2667
228609;9;30;0.3000
230276;8;30;0.2667
231682;8;30;0.2667
231864;9;30;0.3000
231946;9;30;0.3000
239286;8;30;0.2667
240355;8;30;0.2667
257834;8;30;0.2667
264613;8;30;0.2667
266297;8;30;0.2667
271484;8;30;0.2667
279910;8;30;0.2667
285188;8;30;0.2667
296021;8;30;0.2667
303304;8;30;0.2667
325103;8;30;0.2667
325104;8;30;0.2667
330285;8;30;0.2667
330910;8;30;0.2667
336861;9;30;0.3000
340764;9;30;0.3000
346869;8;30;0.2667
346870;8;30;0.2667
347153;8;30;0.2667
