program id;overlap
47424;16
47426;16
87099;16
106228;16
109081;16
161797;16
219537;16
256455;16
271469;16
300048;16
321798;16
321799;16
11659;15
33183;15
38737;15
38797;15
46994;15
47316;15
47511;15
47571;15
47583;15
55833;15
98482;15
99530;15
110111;15
113954;15
131554;15
132820;15
134025;15
134986;15
135668;15
136305;15
138100;15
138232;15
143132;15
162917;15
171647;15
176414;15
176693;15
178969;15
183300;15
183301;15
184750;15
187892;15
193884;15
194847;15
213083;15
214779;15
217615;15
218250;15
