program_id;overlap_count;signature_length;jaccard_index
11379;5;30;0.1667
27444;6;30;0.2000
27445;6;30;0.2000
27849;5;30;0.1667
34496;5;30;0.1667
36085;5;30;0.1667
37251;5;30;0.1667
45623;5;30;0.1667
45950;5;30;0.1667
53698;5;30;0.1667
53699;6;30;0.2000
54602;5;30;0.1667
54604;5;30;0.1667
54606;5;30;0.1667
54607;6;30;0.2000
55897;5;30;0.1667
57566;5;30;0.1667
58920;5;30;0.1667
59839;5;30;0.1667
60532;5;30;0.1667
60788;5;30;0.1667
61804;5;30;0.1667
62189;5;30;0.1667
63495;5;30;0.1667
64017;5;30;0.1667
64199;5;30;0.1667
69071;5;30;0.1667
69515;5;30;0.1667
71237;5;30;0.1667
71246;5;30;0.1667
71289;5;30;0.1667
73724;5;30;0.1667
74149;5;30;0.1667
74535;5;30;0.1667
82047;5;30;0.1667
82986;5;30;0.1667
86653;5;30;0.1667
87438;6;30;0.2000
89658;5;30;0.1667
100019;6;30;0.2000
100167;5;30;0.1667
100705;6;30;0.2000
105374;5;30;0.1667
119536;5;30;0.1667
124152;5;30;0.1667
126274;6;30;0.2000
131056;5;30;0.1667
131509;5;30;0.1667
131833;5;30;0.1667
135859;5;30;0.1667
142954;5;30;0.1667
144965;5;30;0.1667
145813;5;30;0.1667
155121;6;30;0.2000
155965;5;30;0.1667
160128;5;30;0.1667
166519;5;30;0.1667
173391;5;30;0.1667
176780;5;30;0.1667
180354;5;30;0.1667
180355;5;30;0.1667
180574;5;30;0.1667
185065;5;30;0.1667
186575;5;30;0.1667
188947;6;30;0.2000
195590;5;30;0.1667
196421;5;30;0.1667
207598;5;30;0.1667
220425;5;30;0.1667
220932;5;30;0.1667
222410;5;30;0.1667
225826;5;30;0.1667
229135;5;30;0.1667
235887;5;30;0.1667
235888;5;30;0.1667
250765;6;30;0.2000
255043;5;30;0.1667
257042;5;30;0.1667
258402;5;30;0.1667
258618;6;30;0.2000
266698;5;30;0.1667
270109;6;30;0.2000
273652;5;30;0.1667
276289;5;30;0.1667
277982;5;30;0.1667
280364;5;30;0.1667
286191;5;30;0.1667
288963;5;30;0.1667
290631;5;30;0.1667
294315;5;30;0.1667
295130;5;30;0.1667
295904;5;30;0.1667
304161;7;30;0.2333
304162;6;30;0.2000
321123;5;30;0.1667
322595;5;30;0.1667
323724;5;30;0.1667
325911;5;30;0.1667
338109;6;30;0.2000
338610;5;30;0.1667
