program_id;overlap_count;jaccard_index
796;20;0.6667
4596;23;0.8846
19739;20;0.7143
19740;21;0.8077
19743;21;0.8077
19744;20;0.7407
19746;21;0.8077
19748;20;0.7407
19749;21;0.8077
19750;21;0.8077
19751;20;0.7407
19753;21;0.8077
19754;21;0.8077
19755;21;0.8077
19756;21;0.8077
19758;21;0.8077
19759;21;0.8077
19760;21;0.8077
19761;21;0.8077
19762;23;0.9200
19763;20;0.6897
19764;20;0.6452
19765;21;0.7778
19766;21;0.7778
19767;21;0.7778
19768;21;0.7778
19769;21;0.7778
19770;21;0.7778
19771;21;0.7778
19772;21;0.7778
19773;21;0.7778
19774;20;0.7143
59833;20;0.6452
60196;20;0.7692
62546;23;0.8846
64853;20;0.6452
68985;21;0.8077
72334;23;0.8846
89250;20;0.6452
92515;22;0.8800
92516;22;0.8800
93064;20;0.6250
96444;20;0.6452
96789;21;0.7000
113011;20;0.6452
113014;21;0.7500
123152;20;0.6452
130818;20;0.7143
130820;23;0.8214
138714;20;0.7407
177346;20;0.6897
185393;20;0.7407
188659;20;0.6897
188736;20;0.6897
188934;20;0.6897
188945;20;0.6667
190290;20;0.6667
194807;20;0.6667
196533;23;0.7931
197036;20;0.6452
201776;20;0.6667
248181;20;0.6452
257775;22;0.7857
296168;23;0.8214
307229;23;0.8519
330479;23;0.8519
334381;20;0.6452
