program_id;overlap_count;jaccard_index
2144;18;0.7826
5099;17;0.6800
5122;19;0.8636
7522;19;0.8636
24893;18;0.7500
24897;18;0.7200
24905;17;0.6538
24910;19;0.8261
30433;18;0.7200
34934;17;0.7083
39949;19;0.8636
45410;17;0.7083
55131;18;0.7826
61241;19;0.8261
68229;19;0.8636
68231;18;0.7826
87370;19;0.7917
88879;19;0.7917
90670;17;0.6538
92168;19;0.8636
92178;19;0.8636
93191;19;0.8636
93350;19;0.8636
94657;19;0.8636
97539;18;0.7826
100201;19;0.8636
102656;21;1.0000
102686;20;0.9091
102700;17;0.7391
102711;20;0.9091
102721;20;0.9091
102732;19;0.8636
102734;19;0.8636
102768;20;0.9091
105042;18;0.7826
105126;19;0.8636
105127;19;0.8636
105135;20;0.9091
107003;19;0.8636
107006;19;0.8636
107181;19;0.8636
107305;20;0.9091
107306;20;0.8696
107960;17;0.7391
107992;21;0.9545
107994;20;0.9091
108187;21;0.9545
108232;20;0.9091
108724;20;0.9091
108725;20;0.9091
108727;19;0.8636
108856;18;0.7826
108977;20;0.9091
111230;18;0.7200
111369;20;0.9091
121259;17;0.7083
126785;17;0.6800
127575;21;0.9545
127576;19;0.8636
132231;19;0.8636
132232;19;0.8636
132233;19;0.8636
132235;19;0.8636
138620;18;0.7826
138625;19;0.8636
138629;19;0.8636
138630;20;0.9091
138633;19;0.8636
138638;19;0.8636
138640;19;0.8636
138918;19;0.7917
139483;20;0.9091
139487;18;0.8182
139527;20;0.9091
139528;20;0.9091
139530;17;0.6538
139531;20;0.9091
139532;20;0.9091
140371;19;0.8636
140372;19;0.8636
140373;19;0.8636
140375;19;0.8636
140540;19;0.7917
140541;19;0.8636
140542;19;0.8636
140543;19;0.8636
140545;19;0.8636
141195;19;0.8636
141196;19;0.8636
141849;19;0.9048
141850;19;0.8636
141851;19;0.8636
141852;19;0.8636
141853;19;0.8636
141854;19;0.8636
141855;19;0.8636
141856;19;0.8636
141857;19;0.7917
141865;19;0.8636
141872;19;0.8636
141874;19;0.7917
141876;19;0.8636
141877;19;0.7917
141878;19;0.8636
141879;19;0.8636
141882;19;0.8636
141883;19;0.8636
141884;19;0.8636
141885;19;0.8636
141886;19;0.8636
141889;19;0.8636
141890;19;0.8636
141891;19;0.8636
141892;19;0.8636
141896;19;0.8636
141909;19;0.7917
141910;19;0.7917
141912;19;0.7917
141914;19;0.7917
141915;19;0.8636
141917;19;0.8261
141919;19;0.8636
141921;19;0.8636
141922;19;0.8636
141932;19;0.8636
141933;19;0.7917
141934;19;0.8636
141935;19;0.8636
141937;19;0.8636
141939;19;0.8636
141940;19;0.8636
141941;19;0.8636
141942;19;0.8636
141943;19;0.7917
141952;19;0.8636
141953;19;0.8636
141954;19;0.8636
141955;19;0.8636
141957;19;0.8636
141958;19;0.8636
141959;19;0.8636
141960;19;0.8636
141961;19;0.8636
141962;19;0.8636
141963;19;0.8636
141968;19;0.8636
141970;19;0.8636
141971;19;0.8636
141972;19;0.8636
141973;19;0.8636
141974;19;0.8636
141985;19;0.7917
141986;19;0.7917
141987;19;0.8636
141988;19;0.8636
141989;19;0.8261
141990;19;0.7917
141991;19;0.8636
141992;19;0.7917
141993;19;0.8636
141994;19;0.8636
141995;19;0.8636
141996;19;0.8636
141998;19;0.8636
141999;19;0.8636
142000;19;0.8636
142013;19;0.8636
142014;19;0.8636
142015;19;0.8636
142016;19;0.8636
142020;19;0.8636
142021;19;0.8261
142027;19;0.8636
142038;19;0.8636
142039;19;0.8636
142040;19;0.8636
142044;19;0.8636
142056;19;0.8636
142057;19;0.8636
142059;19;0.8636
142060;19;0.8636
142061;19;0.8636
142062;19;0.8261
142072;19;0.8636
142083;19;0.8636
142085;19;0.8636
142087;19;0.8636
142088;19;0.8636
142089;19;0.8636
142090;19;0.8636
142091;19;0.8636
142092;19;0.8636
142103;19;0.8636
142104;19;0.8636
142105;19;0.8636
142106;19;0.8636
142107;19;0.8636
142108;19;0.8636
152680;17;0.7391
153355;18;0.7500
153766;19;0.8636
154610;20;0.9091
155937;20;0.9091
155942;21;1.0000
156287;17;0.6800
157201;18;0.7826
158614;20;0.9091
158791;20;0.9091
168539;19;0.8636
178389;19;0.8636
186304;19;0.8636
214151;19;0.8636
215761;20;0.9091
