program id;overlap
32913;19
276037;19
3188;18
20658;18
38555;18
51545;18
51562;18
65257;18
65258;18
88442;18
98871;18
99821;18
104155;18
145812;18
145818;18
145849;18
146087;18
146091;18
147568;18
147845;18
151672;18
187738;18
187739;18
244042;18
289813;18
348636;18
60587;17
112867;17
115313;17
116623;17
117968;17
122057;17
133667;17
145850;17
146085;17
151668;17
182541;17
189740;17
190642;17
216401;17
224779;17
231295;17
233474;17
254332;17
267675;17
272707;17
279645;17
302397;17
341915;17
343230;17
