program id;overlap
105339;18
133620;17
133623;17
133624;17
133625;17
104974;16
131714;16
57552;14
62157;14
92202;14
94373;14
105367;14
105385;14
137340;14
137345;14
210374;14
337130;14
6858;13
27709;13
28903;13
35191;13
37887;13
51407;13
52552;13
74742;13
76024;13
79319;13
81599;13
92436;13
104581;13
107868;13
107871;13
107874;13
108474;13
111424;13
117575;13
121968;13
138189;13
152577;13
158500;13
173010;13
174784;13
177049;13
181719;13
192832;13
219977;13
233833;13
245489;13
257200;13
265102;13
