program id;overlap
27874;18
86026;18
86028;18
86030;18
147991;18
260918;18
15631;17
103202;17
110380;17
151781;17
151790;17
151792;17
212753;17
225006;17
226141;17
254874;17
255766;17
256971;17
322052;17
351914;17
25773;16
36796;16
38163;16
62877;16
62879;16
69623;16
71425;16
72726;16
80352;16
86148;16
115293;16
118430;16
119967;16
133147;16
133610;16
137951;16
159914;16
164267;16
175214;16
177698;16
178855;16
186196;16
189376;16
189669;16
194050;16
197657;16
214936;16
276677;16
285188;16
285354;16
