program_id;overlap_count;signature_length;jaccard_index
4446;3;30;0.1000
4451;3;30;0.1000
4463;3;30;0.1000
4464;3;30;0.1000
20551;3;30;0.1000
28334;3;30;0.1000
33622;3;30;0.1000
35340;3;30;0.1000
40142;4;30;0.1333
40249;4;30;0.1333
40302;3;30;0.1000
40397;3;30;0.1000
40509;3;30;0.1000
40625;4;30;0.1333
40855;3;30;0.1000
44932;3;30;0.1000
48974;3;30;0.1000
52619;3;30;0.1000
52683;3;30;0.1000
54763;4;30;0.1333
55235;3;30;0.1000
55236;3;30;0.1000
55257;3;30;0.1000
55258;3;30;0.1000
55259;3;30;0.1000
55260;3;30;0.1000
60182;3;30;0.1000
62033;3;30;0.1000
65091;3;30;0.1000
67422;3;30;0.1000
71877;3;30;0.1000
75526;4;30;0.1333
78584;3;30;0.1000
81078;4;30;0.1333
81334;3;30;0.1000
81502;3;30;0.1000
81595;3;30;0.1000
81597;3;30;0.1000
81598;3;30;0.1000
86910;3;30;0.1000
93135;3;30;0.1000
93140;3;30;0.1000
95002;3;30;0.1000
97456;3;30;0.1000
100688;3;30;0.1000
100690;3;30;0.1000
103271;3;30;0.1000
106149;3;30;0.1000
111700;4;30;0.1333
112447;3;30;0.1000
121517;3;30;0.1000
127976;3;30;0.1000
128917;4;30;0.1333
131464;3;30;0.1000
131751;4;30;0.1333
133190;4;30;0.1333
135370;3;30;0.1000
138433;3;30;0.1000
138434;3;30;0.1000
138435;3;30;0.1000
138436;3;30;0.1000
138437;3;30;0.1000
146880;3;30;0.1000
157887;4;30;0.1333
158387;3;30;0.1000
159683;4;30;0.1333
164097;3;30;0.1000
165246;3;30;0.1000
165247;3;30;0.1000
166257;3;30;0.1000
171140;3;30;0.1000
176625;3;30;0.1000
180144;3;30;0.1000
180201;3;30;0.1000
180920;4;30;0.1333
180926;4;30;0.1333
182143;3;30;0.1000
182193;3;30;0.1000
182432;3;30;0.1000
184658;4;30;0.1333
186295;3;30;0.1000
189316;3;30;0.1000
192465;3;30;0.1000
207336;3;30;0.1000
218075;3;30;0.1000
228791;3;30;0.1000
229828;3;30;0.1000
230846;4;30;0.1333
232015;3;30;0.1000
241571;3;30;0.1000
253368;3;30;0.1000
268099;3;30;0.1000
272743;3;30;0.1000
277237;4;30;0.1333
280014;4;30;0.1333
285400;3;30;0.1000
294262;3;30;0.1000
301721;3;30;0.1000
302329;4;30;0.1333
344327;3;30;0.1000
