program id;overlap
133669;21
48112;20
87956;20
198205;20
255303;20
265802;20
334041;20
29748;19
74046;19
116851;19
122995;19
127145;19
206776;19
229397;19
251703;19
279511;19
287128;19
287804;19
19476;18
46180;18
48903;18
54097;18
54668;18
56243;18
59730;18
65495;18
78001;18
81714;18
90399;18
91541;18
99504;18
100215;18
105225;18
109545;18
115302;18
126360;18
126474;18
127137;18
147704;18
190277;18
192907;18
196700;18
201081;18
203624;18
206790;18
207656;18
215885;18
224869;18
240784;18
251212;18
