program id;overlap
166117;21
215008;20
122932;19
29926;18
125199;18
164537;18
214825;18
235378;18
269554;18
337154;18
7882;17
9759;17
14009;17
26619;17
41391;17
49072;17
49440;17
52900;17
78036;17
78789;17
82491;17
88948;17
92521;17
94621;17
99784;17
106392;17
107382;17
109232;17
112261;17
113784;17
118265;17
126643;17
130471;17
133209;17
156158;17
156570;17
163608;17
164456;17
181175;17
183555;17
191590;17
192234;17
200563;17
203790;17
204070;17
212896;17
247560;17
252630;17
267465;17
269550;17
