program_id;overlap_count;signature_length;jaccard_index
439;8;30;0.2667
2419;8;30;0.2667
5906;8;30;0.2667
10905;8;30;0.2667
12866;8;30;0.2667
22141;9;30;0.3000
32509;8;30;0.2667
34108;8;30;0.2667
37458;9;30;0.3000
38794;8;30;0.2667
46901;9;30;0.3000
48575;8;30;0.2667
53307;9;30;0.3000
54107;8;30;0.2667
55990;8;30;0.2667
59517;9;30;0.3000
59997;8;30;0.2667
71024;8;30;0.2667
76457;8;30;0.2667
77265;8;30;0.2667
80585;8;30;0.2667
81307;8;30;0.2667
82524;8;30;0.2667
88648;8;30;0.2667
94766;8;30;0.2667
95166;8;30;0.2667
97550;8;30;0.2667
97657;8;30;0.2667
98452;9;30;0.3000
101107;8;30;0.2667
101854;8;30;0.2667
104626;8;30;0.2667
105058;8;30;0.2667
111282;9;30;0.3000
116733;8;30;0.2667
117561;8;30;0.2667
120845;8;30;0.2667
122558;9;30;0.3000
124479;8;30;0.2667
124820;8;30;0.2667
130257;8;30;0.2667
130917;8;30;0.2667
133673;8;30;0.2667
137694;8;30;0.2667
138252;8;30;0.2667
138709;8;30;0.2667
141523;9;30;0.3000
144678;8;30;0.2667
159693;8;30;0.2667
164409;9;30;0.3000
167375;9;30;0.3000
184336;9;30;0.3000
187673;8;30;0.2667
189807;9;30;0.3000
195503;8;30;0.2667
200155;9;30;0.3000
201975;8;30;0.2667
202440;10;30;0.3333
209304;8;30;0.2667
213082;9;30;0.3000
213776;8;30;0.2667
219167;9;30;0.3000
220020;8;30;0.2667
220147;10;30;0.3333
221731;8;30;0.2667
223950;9;30;0.3000
224039;9;30;0.3000
227013;8;30;0.2667
228879;8;30;0.2667
232582;9;30;0.3000
245827;8;30;0.2667
245830;9;30;0.3000
245969;8;30;0.2667
245997;9;30;0.3000
248230;8;30;0.2667
250388;8;30;0.2667
250461;8;30;0.2667
250730;8;30;0.2667
255995;9;30;0.3000
262139;8;30;0.2667
262140;8;30;0.2667
263942;8;30;0.2667
263944;8;30;0.2667
267778;8;30;0.2667
268263;8;30;0.2667
269412;9;30;0.3000
272978;8;30;0.2667
276704;8;30;0.2667
279230;8;30;0.2667
301454;8;30;0.2667
302766;8;30;0.2667
308305;8;30;0.2667
311914;8;30;0.2667
313280;8;30;0.2667
313510;8;30;0.2667
315761;8;30;0.2667
317405;8;30;0.2667
317849;8;30;0.2667
333599;9;30;0.3000
335807;9;30;0.3000
