program_id;overlap_count;jaccard_index
6460;25;0.7576
6577;24;0.7273
6586;23;0.4423
8516;24;0.3077
25720;23;0.4107
25725;23;0.3898
25726;23;0.4259
26056;23;0.3026
33817;23;0.3833
61223;24;0.3478
64303;23;0.3833
64304;24;0.3333
65504;24;0.3478
76457;23;0.3710
81841;23;0.2674
87233;23;0.3710
90199;23;0.3770
94201;23;0.3833
94794;23;0.3770
109116;24;0.2892
109117;23;0.3770
113023;23;0.2233
118266;23;0.3333
130859;23;0.3485
134632;23;0.3485
167562;23;0.3651
178945;23;0.2190
184744;23;0.3898
188182;23;0.4107
197605;24;0.2667
209263;23;0.3710
209264;24;0.3333
212838;24;0.3529
212839;24;0.3077
213483;23;0.3651
213782;23;0.3651
214945;24;0.3380
215229;24;0.3243
216109;23;0.4107
216113;23;0.3710
220071;24;0.7500
221465;23;0.3770
221575;24;0.3692
228221;23;0.3239
232503;24;0.7059
240707;23;0.3382
245415;23;0.2771
245420;23;0.3485
245423;23;0.3710
245425;23;0.2584
245426;23;0.3651
245430;23;0.2584
248232;23;0.4182
249961;24;0.3117
250082;24;0.3636
250337;23;0.3770
250354;24;0.3529
250363;24;0.3478
250606;23;0.2987
250760;23;0.3286
268263;24;0.3582
268264;24;0.3243
268459;23;0.3594
268460;24;0.3333
268946;23;0.3770
268947;24;0.2927
269412;24;0.2353
269469;23;0.3770
269470;24;0.3333
269496;24;0.3117
269497;24;0.3000
269539;23;0.3770
269540;24;0.3333
269585;24;0.3478
269608;23;0.3770
269609;24;0.3333
269621;23;0.3770
269642;23;0.3770
269643;24;0.3243
269680;24;0.3750
269681;24;0.3077
269691;24;0.3692
269777;23;0.3770
270653;23;0.4035
270869;23;0.3651
270870;24;0.2927
271473;24;0.7500
276874;23;0.4423
285098;24;0.7500
294398;23;0.3239
297405;23;0.4035
316457;24;0.3038
