program_id;overlap_count;signature_length;jaccard_index
1475;6;30;0.2000
2129;5;30;0.1667
3259;6;30;0.2000
6166;5;30;0.1667
7572;6;30;0.2000
8616;6;30;0.2000
11377;6;30;0.2000
23054;6;30;0.2000
25164;6;30;0.2000
26806;6;30;0.2000
28249;6;30;0.2000
30899;5;30;0.1667
30947;5;30;0.1667
30951;5;30;0.1667
32509;6;30;0.2000
33116;5;30;0.1667
36244;6;30;0.2000
40855;6;30;0.2000
41761;5;30;0.1667
41841;5;30;0.1667
41925;5;30;0.1667
44457;6;30;0.2000
44623;5;30;0.1667
47859;5;30;0.1667
50294;6;30;0.2000
52956;6;30;0.2000
57347;6;30;0.2000
58749;6;30;0.2000
59480;6;30;0.2000
64751;5;30;0.1667
65169;6;30;0.2000
65170;6;30;0.2000
72932;7;30;0.2333
75193;6;30;0.2000
78024;5;30;0.1667
79977;6;30;0.2000
83102;5;30;0.1667
83657;6;30;0.2000
100189;5;30;0.1667
101351;6;30;0.2000
101353;6;30;0.2000
103221;6;30;0.2000
107306;6;30;0.2000
120634;6;30;0.2000
128634;6;30;0.2000
131187;6;30;0.2000
132788;6;30;0.2000
135449;8;30;0.2667
136768;5;30;0.1667
137693;6;30;0.2000
137694;6;30;0.2000
138628;6;30;0.2000
138634;6;30;0.2000
138643;6;30;0.2000
139173;6;30;0.2000
140341;6;30;0.2000
144414;6;30;0.2000
147835;5;30;0.1667
155519;6;30;0.2000
157282;6;30;0.2000
163141;6;30;0.2000
166375;6;30;0.2000
168010;5;30;0.1667
175828;5;30;0.1667
183626;5;30;0.1667
184655;7;30;0.2333
185123;6;30;0.2000
190511;6;30;0.2000
191690;5;30;0.1667
204458;6;30;0.2000
206608;5;30;0.1667
207021;6;30;0.2000
207064;6;30;0.2000
208131;6;30;0.2000
213481;5;30;0.1667
213495;5;30;0.1667
214672;6;30;0.2000
216853;6;30;0.2000
222346;6;30;0.2000
245425;6;30;0.2000
245430;6;30;0.2000
250754;6;30;0.2000
258144;6;30;0.2000
264782;6;30;0.2000
266755;5;30;0.1667
276133;5;30;0.1667
276382;6;30;0.2000
284413;6;30;0.2000
287324;5;30;0.1667
288711;6;30;0.2000
297181;6;30;0.2000
301687;6;30;0.2000
303589;8;30;0.2667
325482;6;30;0.2000
325488;6;30;0.2000
329828;6;30;0.2000
329847;6;30;0.2000
329996;6;30;0.2000
337099;6;30;0.2000
345108;6;30;0.2000
