program id;overlap
127717;19
154614;19
274602;19
127738;18
131779;18
204250;18
296307;18
61928;17
82110;17
94305;17
110509;17
110517;17
123486;17
131129;17
131783;17
140880;17
141692;17
143083;17
167431;17
192026;17
281334;17
300073;17
343125;17
14430;16
44623;16
46207;16
50158;16
50163;16
53566;16
57022;16
64635;16
67692;16
69011;16
77153;16
82652;16
92256;16
109134;16
113072;16
113128;16
118124;16
121601;16
124931;16
125232;16
131398;16
131816;16
140874;16
145917;16
146899;16
155495;16
177994;16
