program_id;overlap_count;signature_length;jaccard_index
2544;3;30;0.1000
6105;3;30;0.1000
6577;3;30;0.1000
14068;3;30;0.1000
14105;3;30;0.1000
14309;3;30;0.1000
14410;3;30;0.1000
22815;3;30;0.1000
23531;3;30;0.1000
23550;3;30;0.1000
23554;3;30;0.1000
24869;3;30;0.1000
25164;3;30;0.1000
39964;4;30;0.1333
41313;3;30;0.1000
41365;3;30;0.1000
48492;3;30;0.1000
51133;3;30;0.1000
51743;4;30;0.1333
52146;3;30;0.1000
52153;3;30;0.1000
52553;4;30;0.1333
57029;3;30;0.1000
57788;3;30;0.1000
58261;3;30;0.1000
60296;3;30;0.1000
61554;3;30;0.1000
73744;3;30;0.1000
74171;3;30;0.1000
77265;3;30;0.1000
77467;3;30;0.1000
80095;3;30;0.1000
80256;3;30;0.1000
81307;3;30;0.1000
82524;3;30;0.1000
86790;3;30;0.1000
93833;3;30;0.1000
94026;3;30;0.1000
95351;3;30;0.1000
97657;3;30;0.1000
98894;3;30;0.1000
99895;3;30;0.1000
100033;4;30;0.1333
105209;3;30;0.1000
105249;3;30;0.1000
105251;3;30;0.1000
105253;3;30;0.1000
110556;3;30;0.1000
111685;3;30;0.1000
112355;4;30;0.1333
112469;3;30;0.1000
116192;3;30;0.1000
118112;4;30;0.1333
122033;3;30;0.1000
126192;3;30;0.1000
126448;3;30;0.1000
126451;3;30;0.1000
126883;3;30;0.1000
126884;3;30;0.1000
128057;4;30;0.1333
130887;3;30;0.1000
131027;3;30;0.1000
134249;3;30;0.1000
134287;3;30;0.1000
135861;4;30;0.1333
137993;3;30;0.1000
152135;3;30;0.1000
152174;3;30;0.1000
152223;3;30;0.1000
159355;3;30;0.1000
163455;3;30;0.1000
168577;3;30;0.1000
169803;3;30;0.1000
175167;3;30;0.1000
182386;3;30;0.1000
185018;4;30;0.1333
185826;3;30;0.1000
188582;3;30;0.1000
192956;3;30;0.1000
192958;3;30;0.1000
205312;3;30;0.1000
206419;3;30;0.1000
232324;3;30;0.1000
234513;3;30;0.1000
235534;4;30;0.1333
235535;4;30;0.1333
235536;4;30;0.1333
238192;3;30;0.1000
243224;3;30;0.1000
245300;3;30;0.1000
251635;4;30;0.1333
253145;4;30;0.1333
260636;3;30;0.1000
266326;3;30;0.1000
266437;3;30;0.1000
270814;3;30;0.1000
289098;3;30;0.1000
291779;3;30;0.1000
320508;4;30;0.1333
332190;3;30;0.1000
