program id;overlap
19952;23
179260;23
298743;23
298852;23
5486;22
46095;22
177036;22
177037;22
188593;22
205769;22
86253;21
111728;21
188887;21
316252;21
5482;20
10617;20
10627;20
115754;20
118273;20
136319;20
176051;20
176057;20
178591;20
188935;20
208745;20
245294;20
255941;20
256720;20
273066;20
289915;20
294644;20
298745;20
298751;20
316131;20
316256;20
316352;20
10595;19
10597;19
11002;19
11003;19
86106;19
139339;19
156548;19
166126;19
190157;19
190260;19
190262;19
195400;19
197144;19
210973;19
