program_id;overlap_count;signature_length;jaccard_index
1117;8;30;0.2667
1354;8;30;0.2667
7483;8;30;0.2667
7572;9;30;0.3000
14033;8;30;0.2667
14045;8;30;0.2667
22110;9;30;0.3000
22325;8;30;0.2667
22394;9;30;0.3000
22396;9;30;0.3000
22397;9;30;0.3000
22398;9;30;0.3000
22399;9;30;0.3000
22400;9;30;0.3000
22401;9;30;0.3000
23610;9;30;0.3000
29926;9;30;0.3000
36982;8;30;0.2667
37085;9;30;0.3000
43639;8;30;0.2667
44837;8;30;0.2667
44950;9;30;0.3000
48694;8;30;0.2667
48772;8;30;0.2667
48879;8;30;0.2667
52924;8;30;0.2667
52963;8;30;0.2667
64323;9;30;0.3000
64324;9;30;0.3000
64994;9;30;0.3000
75118;8;30;0.2667
77973;9;30;0.3000
82844;9;30;0.3000
84244;8;30;0.2667
85583;9;30;0.3000
88163;9;30;0.3000
88211;8;30;0.2667
93967;8;30;0.2667
94723;9;30;0.3000
94951;9;30;0.3000
99470;8;30;0.2667
100230;8;30;0.2667
105576;9;30;0.3000
106514;9;30;0.3000
109231;9;30;0.3000
109232;8;30;0.2667
110332;10;30;0.3333
132122;9;30;0.3000
134029;8;30;0.2667
134142;9;30;0.3000
144971;8;30;0.2667
153263;9;30;0.3000
159615;9;30;0.3000
160914;8;30;0.2667
162559;9;30;0.3000
163607;8;30;0.2667
164303;9;30;0.3000
164603;9;30;0.3000
166023;8;30;0.2667
166117;9;30;0.3000
167534;8;30;0.2667
169998;8;30;0.2667
171152;8;30;0.2667
176981;9;30;0.3000
186150;8;30;0.2667
186220;8;30;0.2667
186274;8;30;0.2667
187387;9;30;0.3000
188293;8;30;0.2667
189682;9;30;0.3000
189738;8;30;0.2667
189741;8;30;0.2667
189784;8;30;0.2667
192761;9;30;0.3000
193418;8;30;0.2667
206422;8;30;0.2667
206423;9;30;0.3000
206612;9;30;0.3000
210695;8;30;0.2667
211439;8;30;0.2667
212329;8;30;0.2667
224327;9;30;0.3000
236312;8;30;0.2667
249407;8;30;0.2667
257644;9;30;0.3000
264613;9;30;0.3000
264894;8;30;0.2667
267905;9;30;0.3000
269684;9;30;0.3000
282417;8;30;0.2667
287381;8;30;0.2667
301653;9;30;0.3000
308266;8;30;0.2667
313117;9;30;0.3000
313561;8;30;0.2667
315549;8;30;0.2667
326822;8;30;0.2667
329838;9;30;0.3000
329993;9;30;0.3000
330095;9;30;0.3000
