program id;overlap
121582;19
121584;19
185292;19
186238;19
224000;19
229505;19
235282;19
240400;19
248574;19
263656;19
268966;19
281050;19
292988;19
337142;19
1781;18
1786;18
10603;18
42994;18
45334;18
45398;18
45402;18
52618;18
54455;18
73767;18
76987;18
77163;18
82308;18
97110;18
101464;18
110236;18
110349;18
112035;18
113895;18
114713;18
117081;18
131383;18
132461;18
137441;18
140248;18
157635;18
176441;18
182664;18
188684;18
205250;18
206912;18
212952;18
229514;18
244881;18
246800;18
249845;18
