program_id;overlap_count;signature_length;jaccard_index
529;6;30;0.2000
1283;6;30;0.2000
1511;7;30;0.2333
7993;6;30;0.2000
25164;6;30;0.2000
27975;6;30;0.2000
36243;6;30;0.2000
37227;7;30;0.2333
41085;5;30;0.1667
45618;6;30;0.2000
49638;6;30;0.2000
49662;5;30;0.1667
49665;5;30;0.1667
50603;7;30;0.2333
51064;7;30;0.2333
53384;7;30;0.2333
53388;7;30;0.2333
55341;6;30;0.2000
55457;7;30;0.2333
55899;6;30;0.2000
59132;7;30;0.2333
59134;7;30;0.2333
59137;7;30;0.2333
59139;7;30;0.2333
59141;7;30;0.2333
59144;7;30;0.2333
60633;5;30;0.1667
60646;5;30;0.1667
63240;6;30;0.2000
79167;6;30;0.2000
82530;6;30;0.2000
85058;7;30;0.2333
86663;6;30;0.2000
87229;9;30;0.3000
88487;6;30;0.2000
89080;6;30;0.2000
89574;6;30;0.2000
90739;7;30;0.2333
97776;6;30;0.2000
98022;6;30;0.2000
100187;6;30;0.2000
100555;5;30;0.1667
109444;6;30;0.2000
111566;5;30;0.1667
115362;7;30;0.2333
116774;6;30;0.2000
119674;7;30;0.2333
124778;6;30;0.2000
127712;5;30;0.1667
134316;6;30;0.2000
135099;5;30;0.1667
135523;6;30;0.2000
135560;7;30;0.2333
141135;6;30;0.2000
160094;7;30;0.2333
160541;6;30;0.2000
162968;5;30;0.1667
164006;6;30;0.2000
164086;6;30;0.2000
172292;6;30;0.2000
179619;5;30;0.1667
180576;6;30;0.2000
184727;6;30;0.2000
188480;6;30;0.2000
203299;6;30;0.2000
204988;6;30;0.2000
206806;6;30;0.2000
213569;6;30;0.2000
214748;6;30;0.2000
215418;5;30;0.1667
220656;6;30;0.2000
223711;6;30;0.2000
235537;5;30;0.1667
250766;6;30;0.2000
250768;5;30;0.1667
250772;5;30;0.1667
250814;5;30;0.1667
254046;9;30;0.3000
256539;6;30;0.2000
258059;7;30;0.2333
262699;7;30;0.2333
263845;9;30;0.3000
268579;6;30;0.2000
269735;5;30;0.1667
271519;6;30;0.2000
273015;5;30;0.1667
289849;5;30;0.1667
289877;6;30;0.2000
290251;5;30;0.1667
306775;5;30;0.1667
313538;6;30;0.2000
315198;6;30;0.2000
315306;6;30;0.2000
315646;6;30;0.2000
319258;5;30;0.1667
321811;5;30;0.1667
326732;6;30;0.2000
327625;5;30;0.1667
330393;7;30;0.2333
341514;5;30;0.1667
